@RELATION xperia-complete

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_13 REAL
@ATTRIBUTE attribute_14 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 REAL
@ATTRIBUTE attribute_19 REAL
@ATTRIBUTE attribute_20 REAL
@ATTRIBUTE attribute_21 REAL
@ATTRIBUTE attribute_22 REAL
@ATTRIBUTE attribute_23 REAL
@ATTRIBUTE attribute_24 REAL
@ATTRIBUTE attribute_25 REAL
@ATTRIBUTE attribute_26 REAL
@ATTRIBUTE attribute_27 {Xperia-C,Xperia-Z,Xperia-Z1}

@DATA
0.094651,0.054733,0.042419,0.146688,0.154290,0.144198,0.107548,0.067521,0.187953,0.135357,0.053822,0.052596,0.146554,0.111761,0.116036,0.138065,0.056069,0.189738,0.175323,0.117032,0.091566,0.140203,0.062615,0.062299,0.138636,0.049863,0.162463,Xperia-C
0.154662,0.150812,0.040279,0.209175,0.173303,0.067169,0.057534,0.044572,0.102493,0.195529,0.142200,0.047416,0.194248,0.149337,0.058718,0.067564,0.042744,0.102244,0.188343,0.203311,0.055488,0.221549,0.103661,0.038740,0.062867,0.034672,0.091368,Xperia-C
0.236631,0.141491,0.047920,0.143900,0.239539,0.049868,0.054709,0.053155,0.032787,0.250969,0.118409,0.055542,0.119004,0.251898,0.057416,0.058375,0.055505,0.032883,0.229879,0.169809,0.042350,0.172939,0.230883,0.045860,0.044715,0.043227,0.020338,Xperia-Z
0.262021,0.128094,0.031772,0.168003,0.276175,0.040641,0.039119,0.034285,0.019890,0.278197,0.127023,0.036049,0.166005,0.250880,0.041036,0.044137,0.035300,0.021372,0.271970,0.175003,0.035631,0.188416,0.224208,0.027357,0.034954,0.027816,0.014645,Xperia-C
0.240959,0.126774,0.053787,0.128440,0.237368,0.053780,0.059357,0.057996,0.041539,0.256992,0.111359,0.055869,0.114408,0.253943,0.058970,0.058026,0.056494,0.033939,0.242960,0.153768,0.045570,0.157197,0.240149,0.045094,0.047444,0.044967,0.022852,Xperia-Z
0.191233,0.145008,0.065083,0.149128,0.192028,0.063833,0.071076,0.069069,0.053542,0.215758,0.135698,0.065157,0.138353,0.210359,0.063395,0.064778,0.066012,0.040491,0.196765,0.174940,0.055542,0.179015,0.193865,0.055222,0.057007,0.057260,0.030385,Xperia-Z
0.149015,0.127353,0.045837,0.198236,0.172812,0.069602,0.066299,0.051911,0.118935,0.187828,0.117106,0.051533,0.184855,0.148806,0.065364,0.077383,0.046707,0.120417,0.185137,0.194627,0.065985,0.203923,0.091086,0.041221,0.068788,0.040174,0.109059,Xperia-C
0.218788,0.213650,0.034940,0.218842,0.209172,0.030190,0.031533,0.032417,0.010469,0.213479,0.212656,0.035747,0.219688,0.208481,0.032472,0.032309,0.034404,0.010764,0.204608,0.242008,0.028793,0.242295,0.192331,0.025921,0.027163,0.027474,0.009406,Xperia-Z1
0.229816,0.154130,0.030064,0.189586,0.254083,0.042430,0.037223,0.035394,0.027274,0.268929,0.125926,0.033814,0.166496,0.257586,0.042647,0.045870,0.031303,0.027429,0.250364,0.190981,0.032171,0.203998,0.216550,0.026065,0.032202,0.026716,0.020951,Xperia-C
0.127193,0.147170,0.081567,0.149033,0.131423,0.081171,0.089576,0.087139,0.105727,0.149289,0.131439,0.087279,0.133744,0.149064,0.088195,0.084144,0.080682,0.096165,0.115436,0.178997,0.079425,0.184810,0.116747,0.081552,0.079487,0.075909,0.087636,Xperia-Z1
0.143584,0.204826,0.060504,0.211065,0.140115,0.059782,0.066278,0.064307,0.049538,0.153177,0.187985,0.065129,0.193906,0.156801,0.063313,0.063686,0.065005,0.050997,0.132533,0.227208,0.057687,0.230817,0.137453,0.057989,0.058246,0.057198,0.040869,Xperia-Z1
0.136825,0.181916,0.066123,0.186417,0.131314,0.062848,0.075940,0.073441,0.085176,0.145424,0.167240,0.070290,0.172812,0.147799,0.069747,0.070236,0.072774,0.083678,0.124896,0.205253,0.065642,0.213347,0.127589,0.063445,0.063601,0.065098,0.071129,Xperia-Z1
0.170453,0.211640,0.050003,0.219145,0.169335,0.048001,0.051199,0.051478,0.028746,0.174527,0.209366,0.050384,0.212796,0.175427,0.049095,0.049150,0.050485,0.028770,0.157081,0.238345,0.045425,0.244205,0.158796,0.043826,0.043585,0.044602,0.024136,Xperia-Z1
0.202552,0.155210,0.061466,0.153922,0.198089,0.062336,0.060908,0.059425,0.046092,0.224119,0.136716,0.062429,0.136801,0.219680,0.061622,0.060504,0.059014,0.039115,0.187992,0.189001,0.055708,0.192967,0.184826,0.053845,0.052068,0.053069,0.030524,Xperia-Z1
0.187254,0.150340,0.063923,0.151708,0.187492,0.062235,0.068979,0.070236,0.057832,0.213720,0.129333,0.065923,0.130812,0.207429,0.065462,0.066815,0.065142,0.055363,0.184815,0.181045,0.057007,0.186057,0.181833,0.056494,0.054449,0.055996,0.042305,Xperia-Z
0.205778,0.109106,0.057676,0.112422,0.206537,0.060152,0.066228,0.063231,0.118870,0.218687,0.101454,0.059513,0.106734,0.220502,0.061558,0.061907,0.059349,0.110296,0.205689,0.135490,0.048775,0.142123,0.205458,0.054984,0.055088,0.051883,0.100509,Xperia-Z
0.150319,0.125096,0.041775,0.190540,0.170988,0.076046,0.063720,0.050191,0.131326,0.187018,0.117081,0.047495,0.178201,0.149954,0.067484,0.076860,0.044969,0.130937,0.184686,0.185354,0.058316,0.200789,0.097347,0.042613,0.076240,0.037476,0.117178,Xperia-C
