5S,0.123416,0.067919,0.117462,0.056545,0.098717,0.090545,0.108757,0.110892,0.225747,0.119680,0.060774,0.101304,0.068207,0.110892,0.105862,0.120953,0.099415,0.212914,0.139349,0.085474,0.107812,0.087219,0.114075,0.092352,0.105780,0.098388,0.169551
5S,0.169510,0.126537,0.085207,0.115224,0.154748,0.075721,0.087240,0.091531,0.094282,0.186182,0.107402,0.084221,0.110009,0.161708,0.081614,0.093317,0.084057,0.091490,0.161914,0.164398,0.082415,0.162365,0.135818,0.071143,0.077610,0.074818,0.069521
5S,0.160805,0.118941,0.087999,0.111015,0.152797,0.077364,0.092311,0.097033,0.101735,0.182445,0.098594,0.087794,0.104671,0.157705,0.083154,0.098984,0.087281,0.099374,0.157663,0.160641,0.084611,0.154625,0.131937,0.074592,0.083667,0.078924,0.073339
5S,0.138856,0.067365,0.112329,0.058700,0.112083,0.086295,0.104589,0.109209,0.210574,0.146125,0.056811,0.100770,0.062417,0.122965,0.097033,0.120829,0.092947,0.200103,0.174951,0.085700,0.102043,0.082415,0.131773,0.084180,0.096397,0.092106,0.150436
5S,0.215563,0.154851,0.054040,0.144462,0.215707,0.051432,0.057653,0.060179,0.046114,0.221682,0.151750,0.052869,0.136495,0.226753,0.054512,0.058762,0.053485,0.043692,0.190781,0.196735,0.048414,0.189878,0.198665,0.047100,0.047326,0.049954,0.031147
5S,0.157273,0.067755,0.106190,0.062889,0.140827,0.079376,0.088718,0.105143,0.191828,0.134483,0.056237,0.093974,0.064798,0.134504,0.101899,0.111159,0.097074,0.205872,0.159635,0.084119,0.095678,0.082825,0.155713,0.090709,0.090134,0.092229,0.148958
5S,0.151278,0.076091,0.104445,0.069705,0.143846,0.084262,0.098183,0.108018,0.164172,0.152551,0.068987,0.095514,0.076152,0.131219,0.095596,0.117113,0.095267,0.167601,0.168217,0.104548,0.096458,0.102618,0.140827,0.085659,0.093337,0.088307,0.120029
5S,0.135510,0.085741,0.091490,0.075742,0.156781,0.087630,0.088862,0.109003,0.169243,0.158300,0.073175,0.093317,0.078801,0.128878,0.092167,0.110995,0.088430,0.175937,0.152941,0.107997,0.088369,0.104999,0.150210,0.087527,0.086439,0.090586,0.130931
5S,0.115553,0.070794,0.107689,0.064244,0.125860,0.091921,0.105903,0.113376,0.204661,0.143353,0.062437,0.102187,0.068617,0.115450,0.095740,0.121302,0.094118,0.196797,0.137378,0.095083,0.103788,0.095678,0.127174,0.089519,0.099784,0.095678,0.155918
5S,0.133539,0.076830,0.100647,0.069295,0.155097,0.091284,0.100051,0.113746,0.159511,0.173391,0.068576,0.097711,0.076563,0.129350,0.089046,0.116846,0.090627,0.157889,0.154727,0.109907,0.097218,0.103891,0.147110,0.085843,0.092886,0.092064,0.116354
5S,0.122883,0.059624,0.108018,0.051904,0.141936,0.094015,0.100195,0.119515,0.201909,0.158177,0.047223,0.103809,0.058741,0.132286,0.097526,0.120398,0.093255,0.188584,0.154050,0.074407,0.100667,0.074181,0.156924,0.093502,0.099538,0.095658,0.151073
5S,0.184149,0.091161,0.084488,0.086562,0.204188,0.076214,0.083215,0.090258,0.099764,0.200452,0.076542,0.083646,0.086275,0.189631,0.082189,0.096232,0.085433,0.099600,0.183102,0.122595,0.076645,0.120193,0.195688,0.073052,0.078452,0.080916,0.069356
