@RELATION iphone-complete

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_13 REAL
@ATTRIBUTE attribute_14 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 REAL
@ATTRIBUTE attribute_19 REAL
@ATTRIBUTE attribute_20 REAL
@ATTRIBUTE attribute_21 REAL
@ATTRIBUTE attribute_22 REAL
@ATTRIBUTE attribute_23 REAL
@ATTRIBUTE attribute_24 REAL
@ATTRIBUTE attribute_25 REAL
@ATTRIBUTE attribute_26 REAL
@ATTRIBUTE attribute_27 {iphone-4,iphone-4S,iphone-5S,iphone-5}

@DATA
0.191163,0.124969,0.069118,0.130994,0.189979,0.069577,0.080541,0.076739,0.066919,0.194772,0.110807,0.065985,0.127539,0.198518,0.076215,0.086003,0.070367,0.069795,0.155943,0.165497,0.063125,0.189197,0.158086,0.068885,0.076191,0.069465,0.053611,iphone-5
0.158553,0.102421,0.093157,0.092101,0.147146,0.078519,0.092101,0.099416,0.136585,0.151770,0.100898,0.090055,0.106489,0.146220,0.086454,0.098038,0.089652,0.130423,0.129190,0.150409,0.083425,0.151923,0.129907,0.083168,0.082354,0.085335,0.104290,iphone-5S
0.188058,0.220187,0.040787,0.210411,0.220392,0.043382,0.032912,0.036278,0.007592,0.204578,0.208098,0.041648,0.222615,0.203756,0.043022,0.034518,0.033876,0.007888,0.146731,0.268271,0.037537,0.262207,0.170536,0.039708,0.032578,0.034428,0.008003,iphone-4
0.186632,0.182611,0.039695,0.194854,0.212980,0.043048,0.033645,0.037344,0.069191,0.192079,0.186067,0.042213,0.196973,0.198772,0.043729,0.034377,0.035559,0.070231,0.143815,0.229552,0.036419,0.243734,0.173914,0.039772,0.031294,0.034916,0.066583,iphone-4
0.255995,0.115511,0.056672,0.122310,0.239111,0.054868,0.063520,0.060104,0.031909,0.272204,0.088299,0.056028,0.111540,0.241922,0.064639,0.072204,0.055536,0.037628,0.231329,0.163717,0.053530,0.191614,0.184622,0.048334,0.060587,0.047601,0.018665,iphone-4S
0.203024,0.210912,0.046260,0.201238,0.214175,0.047801,0.033246,0.034801,0.008543,0.201315,0.203846,0.046619,0.220598,0.197526,0.050628,0.036792,0.033413,0.009262,0.157548,0.258045,0.041571,0.258893,0.160849,0.043896,0.035366,0.035122,0.008710,iphone-4
0.196286,0.145688,0.064075,0.144093,0.200032,0.057711,0.064365,0.064285,0.063463,0.198373,0.136819,0.059033,0.145140,0.208330,0.060507,0.063407,0.063423,0.064970,0.173086,0.184767,0.052717,0.193733,0.184928,0.054400,0.055939,0.054417,0.046014,iphone-5S
0.167125,0.082297,0.092907,0.085923,0.153978,0.087542,0.106328,0.097595,0.126306,0.159149,0.070512,0.085979,0.093471,0.156789,0.097974,0.112466,0.092561,0.131099,0.148830,0.113497,0.086205,0.133121,0.142369,0.089193,0.099021,0.086374,0.101390,iphone-5
0.210603,0.183986,0.051976,0.186658,0.192965,0.047724,0.042740,0.041995,0.041352,0.195535,0.178706,0.051296,0.195933,0.196254,0.054147,0.044281,0.041956,0.041892,0.164369,0.234279,0.048444,0.239161,0.144201,0.046401,0.042560,0.040428,0.040158,iphone-4
0.211431,0.083675,0.075498,0.084980,0.193185,0.070641,0.092053,0.087123,0.101414,0.227768,0.063632,0.070883,0.091280,0.186998,0.080461,0.103726,0.072945,0.102308,0.197648,0.131131,0.071664,0.157506,0.153075,0.066573,0.086124,0.064921,0.071358,iphone-4S
0.232940,0.157433,0.039368,0.160962,0.233012,0.035139,0.038611,0.037870,0.064663,0.242526,0.146760,0.037588,0.151198,0.241157,0.038571,0.040271,0.037185,0.064744,0.189028,0.206195,0.036138,0.219140,0.188488,0.034624,0.036154,0.032336,0.057897,iphone-5
0.142297,0.069996,0.098522,0.069811,0.128763,0.087042,0.108970,0.096661,0.197938,0.141459,0.058428,0.091819,0.078890,0.124123,0.095485,0.120554,0.088218,0.201023,0.135731,0.093277,0.094139,0.113981,0.119773,0.087711,0.110130,0.084448,0.160809,iphone-5
0.250526,0.104636,0.061449,0.112700,0.232859,0.057099,0.068417,0.066339,0.045974,0.265799,0.083909,0.055609,0.111250,0.238055,0.065364,0.076111,0.057881,0.046022,0.223362,0.152914,0.056350,0.185838,0.185145,0.051903,0.064277,0.051323,0.028888,iphone-4S
0.242438,0.104612,0.044339,0.113087,0.239699,0.043356,0.047392,0.046780,0.118299,0.253297,0.094067,0.042140,0.103959,0.244065,0.047569,0.052757,0.043171,0.118975,0.226278,0.144005,0.039401,0.159335,0.206710,0.038152,0.042937,0.036041,0.107141,iphone-4S
0.200365,0.204129,0.035918,0.215241,0.207546,0.037229,0.029559,0.030330,0.039682,0.202073,0.201585,0.037190,0.212363,0.208073,0.038179,0.030266,0.030639,0.039631,0.157458,0.254178,0.031255,0.262811,0.160824,0.034069,0.030240,0.029868,0.039297,iphone-4
0.193197,0.173285,0.034916,0.193903,0.216615,0.036779,0.029251,0.030035,0.092019,0.202947,0.181943,0.037897,0.189779,0.199735,0.036265,0.029752,0.029328,0.092353,0.152859,0.217862,0.031641,0.243207,0.171640,0.034557,0.028468,0.029136,0.090631,iphone-4
0.241769,0.148543,0.045183,0.152111,0.241461,0.045075,0.049581,0.049135,0.027143,0.243645,0.139023,0.042968,0.147205,0.252872,0.047428,0.052118,0.046567,0.028174,0.213010,0.186667,0.038324,0.197970,0.222268,0.039969,0.042522,0.039508,0.019762,iphone-4S
0.193608,0.156135,0.035520,0.158833,0.226944,0.033323,0.026155,0.030305,0.139178,0.202510,0.158871,0.036471,0.168544,0.200134,0.035700,0.026682,0.030857,0.140231,0.164883,0.190820,0.032540,0.198579,0.189664,0.033028,0.024280,0.028339,0.137867,iphone-4
0.195360,0.123422,0.071052,0.119579,0.191719,0.062601,0.070069,0.073775,0.092424,0.192395,0.115519,0.070504,0.120490,0.187497,0.070496,0.075877,0.071060,0.096161,0.179184,0.157224,0.062351,0.164450,0.173948,0.062706,0.063705,0.063898,0.072534,iphone-5S
0.279977,0.122745,0.040013,0.138607,0.274636,0.040142,0.041914,0.039481,0.022484,0.288122,0.117372,0.040641,0.126193,0.274814,0.043235,0.045620,0.040150,0.023853,0.253015,0.175736,0.035695,0.192500,0.224892,0.032803,0.037161,0.032940,0.015258,iphone-4S
0.210308,0.193415,0.025898,0.200301,0.242193,0.027710,0.022764,0.023894,0.053518,0.222563,0.191796,0.028159,0.195856,0.227766,0.030061,0.023933,0.025076,0.054790,0.177306,0.229899,0.021942,0.244685,0.205555,0.024318,0.020040,0.022828,0.053428,iphone-4
